cluster:,0,,
94732355,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,novel protein similar to vertebrate neuroepithelial cell transforming gene 1 (NET1) [Danio rerio]
470597701,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: LOW QUALITY PROTEIN: neuroepithelial cell-transforming gene 1 protein [Tursiops truncatus]
10436702,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,unnamed protein product [Homo sapiens]
440901751,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,"Neuroepithelial cell-transforming 1 protein, partial [Bos mutus]"
428698311,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,"Chain A, Crystal Structure Of Dh-Ph Domain Of Rhogef3(Xpln)"
449274046,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,Rho guanine nucleotide exchange factor 3 [Columba livia]
532069067,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X1 [Ictidomys tridecemlineatus]
466067652,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X1 [Orcinus orca]
466067657,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X2 [Orcinus orca]
149020972,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,rCG55879 [Rattus norvegicus]
296206092,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X2 [Callithrix jacchus]
344244587,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,Rho guanine nucleotide exchange factor 3 [Cricetulus griseus]
521027950,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,Neuroepithelial cell-transforming protein 1 protein [Myotis brandtii]
19923327,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,neuroepithelial cell-transforming gene 1 protein isoform 2 [Homo sapiens]
465994208,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,Neuroepithelial cell-transforming gene 1 protein [Chelonia mydas]
194380298,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,unnamed protein product [Homo sapiens]
348512813,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein-like [Oreochromis niloticus]
504152638,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X1 [Ochotona princeps]
532062813,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: rho guanine nucleotide exchange factor 3 isoform X1 [Ictidomys tridecemlineatus]
532062815,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: rho guanine nucleotide exchange factor 3 isoform X2 [Ictidomys tridecemlineatus]
532062817,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
532062819,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
465977978,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,"Rho guanine nucleotide exchange factor 3, partial [Chelonia mydas]"
332817033,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: rho guanine nucleotide exchange factor 3 isoform X4 [Pan troglodytes]
335299241,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
514728649,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
344277724,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,PREDICTED: neuroepithelial cell-transforming gene 1 protein isoform X2 [Loxodonta africana]
3834631,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NET1 homolog [Mus musculus]
157819709,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,rho guanine nucleotide exchange factor 3 [Rattus norvegicus]
355746624,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,"hypothetical protein EGM_10576, partial [Macaca fascicularis]"
327288294,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
530391927,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
432866295,2,cd00160/RhoGEF--^cd10572/PH_RhoGEF3_XPLN--,NA
499016224,2,cd00160/RhoGEF--^cd10572/PH_RhoGEF3_XPLN--,PREDICTED: rho guanine nucleotide exchange factor 3-like isoform X1 [Maylandia zebra]
326911035,2,cd00160/RhoGEF--cd10572/PH_RhoGEF3_XPLN--,NA
